"","UMAP1","UMAP2","Group"
"LNEN079_TU",-10.2706696582249,-2.46266516791713,"lung NETs Ca A2"
"LNEN081_TU",0.989085405332399,12.0279071002535,"lung NETs Ca A1"
"LNEN083_TU",-2.20152634402593,2.50273401968791,"lung NETs Ca B"
"LNEN084_TU",-1.71444456290251,1.78397720689926,"lung NETs supra-carcinoids"
"LNEN089_TU",-2.36987801487534,4.06905218363364,"lung NETs Ca B"
"S01504_B_TU",1.23006996498256,11.4834031855022,"lung NETs Ca A1"
"S01605_B_TU",-9.42849809190388,-1.75767931718999,"lung NETs Ca A2"
"LNEN047_TU",0.860143027441484,12.0600501567459,"lung NETs Ca A1"
"LNEN048_TU",1.11616484857447,11.7518931410144,"lung NETs Ca A1"
"LNEN055_TU",-9.53711526523592,-1.71247425438812,"lung NETs Ca A2"
"LNEN056_TU",-9.37530777818088,-1.92264328366963,"lung NETs Ca A2"
"LNEN057_TU",1.64801173785894,11.6648210867878,"lung NETs Ca A1"
"LNEN060_TU",-8.78404778987668,-2.35439044931575,"lung NETs Ca A2"
"LNEN063_TU",1.58679518208545,11.8091699282312,"lung NETs Ca A1"
"LNEN064_TU",-9.33728184295744,-2.53334038091117,"lung NETs Ca A2"
"LNEN066_TU",-2.2521101846211,2.82166211435884,"lung NETs Ca B"
"LNEN067_TU",-2.34263690952735,2.6567514735927,"lung NETs Ca B"
"LNEN071_TU",1.54116333951876,0.92488650862775,"lung NETs supra-carcinoids"
"LNEN072_TU",-1.93070728407175,1.96264004812248,"lung NETs Ca B"
"LNEN074_TU",-9.01037352692072,-1.94932106588918,"lung NETs Ca A2"
"LNEN076_TU",1.22515758655596,11.4625465687433,"lung NETs Ca A1"
"LNEN077_TU",-9.65258157383639,-2.01873754686691,"lung NETs Ca A2"
"LNEN044_TU",1.26509747657459,11.4506311856143,"lung NETs Ca A1"
"LNEN050_TU",1.21682328580851,11.7796422108186,"lung NETs Ca A1"
"LNEN051_TU",-9.77338609434773,-1.86920790723659,"lung NETs Ca A2"
"LNEN053_TU",-2.33588309099264,2.88642609458308,"lung NETs Ca B"
"LNEN054_TU",-8.73926458426721,-1.85844894637707,"lung NETs Ca A2"
"LNEN068_TU",0.909380018715201,11.0024725399226,"lung NETs Ca A1"
"LNEN069_TU",0.364637696760879,10.9455707550321,"lung NETs Ca A1"
"LNEN073_TU",-2.31653845118888,2.85753584199795,"lung NETs Ca B"
"LNEN082_TU",-2.06850712857839,2.15472106419326,"lung NETs Ca B"
"LNEN085_TU",-0.0131552303032153,10.6727436923271,"lung NETs Ca A1"
"LNEN086_TU",-10.1652486066401,-2.64612237373814,"lung NETs Ca A2"
"LNEN087_TU",-2.45883623926019,3.00060743488522,"lung NETs Ca B"
"LNEN090_TU",-2.41014949226265,2.84941325448076,"lung NETs Ca B"
"LNEN091_TU",1.00501392048181,10.7756784433339,"lung NETs Ca A1"
"LNEN092_TU2",1.32850467361567,11.8678817999296,"lung NETs Ca A1"
"LNEN093_TU2",1.31139651748219,11.5936809635024,"lung NETs Ca A1"
"LNEN094_TU5",-2.54421404767936,2.76837354647581,"lung NETs Ca B"
"LNEN095_TU2",-2.64481693461666,2.67298991627745,"lung NETs Ca B"
"LNEN096_TU3",-9.81445374435189,-1.90540632517937,"lung NETs Ca A2"
